Tag;Parts_Id;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023
Monoporzioni;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;560;560;524
Monoporzioni;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;372;480;NULL;NULL;960;NULL;NULL;960;NULL;478;NULL;NULL;NULL;960;NULL;NULL;NULL;960
Monoporzioni;17;1447.5;2702.5;2597.5;3650;1805;2902.5;2300;1377.5;1075;2125;1957.5;1297.5;2475;3310;4412.5;1572.5;3142.5;1987.5;2872.5;637.5;1902.5;3277.5;1842.5;2317.5;1817.5;2630;1380;2470;592.5;1325;3550;1027.5;2695;1695;2482.5;4647.5
Monoporzioni;33;840;258;786;1092;405;1536;435;219;780;90;1158;750;138;1002;291;432;1320;210;816;666;120;816;852;195;450;900;822;651;630;129;720;1332;2910;3381;4440;2046
Monoporzioni;35;234;642;1806;1215;1854;669;1164;1800;90;1020;1044;930;1908;1248;522;1932;1275;207;1320;1368;420;720;1872;870;1539;1203;1365;762;1587;498;1365;1230;7650;4032;8745;3975
Monoporzioni;40;2780;2460;2440;2890;4160;3428;1840;3840;600;2900;2300;2420;3400;2080;6380;2230;1960;2960;3840;2160;1440;2520;3890;3160;4180;5328;1480;3040;2160;2880;5000;1780;2520;4450;5406;1336
Monoporzioni;42;16083;43029;31974;26205;26028;33930;27750;20418;28299;22635;33444;43092;25377;27378;49566;19950;49746;36132;35136;34320;21786;44373;26871;50451;37497;39855;63360;31128;39276;45156;63537;30021;28494;41835;63504;49929
Monoporzioni;49;NULL;60;720;600;NULL;1200;NULL;NULL;720;600;600;NULL;1200;600;660;NULL;720;600;600;720;60;720;600;600;600;1380;420;360;1140;1020;420;1380;NULL;660;1320;720
Semilavorati;1;NULL;NULL;57416;92867;142754;46424;79485;NULL;39103;23053;19309;81333;198443;191725;220460;182691;122764;141521;75696;37425;132185;80444;243467;173495;280847;307802;184744;175209;89866;92616;70736;10055;113103;117808;301677;312797
Monoporzioni;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;250;NULL;NULL;NULL;NULL;2000;NULL;1500;NULL;NULL;8000;3000;NULL;3000;NULL;500;367.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;6;1447.5;2702.5;2597.5;3650;1805;2902.5;2300;1377.5;1075;2125;1957.5;1297.5;2475;3310;4412.5;1572.5;3142.5;1987.5;2872.5;637.5;1902.5;3277.5;1842.5;2317.5;1817.5;2630;1380;2470;592.5;1325;3550;1027.5;2695;1695;2482.5;4647.5
